RA,Dec,z,direction_cw_ccw
345.36051,0.86532,0.01023,1
131.21483,1.15562,0.01338,1
218.38957,3.27468,0.01433,-1
204.01922,-1.59195,0.01459,-1
348.63803,0.236,0.01465,-1
204.80527,-1.12105,0.01483,1
18.65572,1.18154,0.01544,1
332.99697,-0.25311,0.0162,1
225.30937,43.14464,0.0163,-1
193.37214,-1.74209,0.01643,1
172.44998,1.13796,0.01665,-1
140.80568,2.60131,0.01674,-1
226.36884,43.11008,0.01676,-1
141.68637,1.1543,0.01694,-1
215.48496,43.5302,0.01695,-1
172.73649,2.28703,0.01703,-1
232.04005,43.0071,0.01703,1
17.00907,-0.07544,0.01715,-1
140.78385,2.4861,0.01722,1
177.8833,4.85253,0.0176,1
15.9651,-0.35867,0.01766,-1
140.58957,4.0612,0.01767,-1
228.45837,42.00816,0.01771,-1
162.6877,3.51353,0.01812,-1
196.91124,-0.94246,0.01812,1
222.66416,42.741,0.01823,-1
351.18597,1.03005,0.01828,-1
143.96884,4.0168,0.01831,-1
163.33654,-0.60642,0.0185,-1
231.63197,42.8749,0.0185,1
15.67694,-0.74963,0.0185,-1
224.93929,44.31379,0.01868,-1
355.16012,-0.89185,0.01883,-1
158.85464,3.29445,0.01888,1
19.22327,0.15313,0.01896,1
181.07221,3.87301,0.01899,-1
179.89529,3.33801,0.01931,-1
135.4779,1.17195,0.01936,1
21.41545,1.17804,0.01949,-1
173.90559,0.13103,0.01954,1
179.89791,3.33507,0.01974,-1
177.25792,-1.1026,0.01987,-1
30.54935,-0.13043,0.01987,1
146.39767,4.41061,0.01992,1
170.96082,1.73428,0.01996,1
181.12846,2.34344,0.01997,-1
169.37335,2.50425,0.02019,1
178.71378,2.95925,0.02022,1
32.4874,0.87644,0.02036,-1
153.4691,0.55095,0.02065,1
194.34343,2.37039,0.02071,-1
148.33526,0.72066,0.02078,-1
182.99769,1.35,0.02086,1
202.45245,-0.29413,0.02124,-1
152.13332,-0.66686,0.02127,-1
